INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
make: 'csim.exe' is up to date.


A = 0 B = 0 RES = 27, OP = 0 
A = 2 B = 1 RES = 28, OP = 1 
A = 4 B = 2 RES = 8, OP = 2 
A = 6 B = 3 RES = 6, OP = 3 
A = 8 B = 4 RES = 4, OP = 4 
A = 10 B = 5 RES = 2, OP = 5 
A = 12 B = 6 RES = 18, OP = 6 
A = 14 B = 7 RES = 7, OP = 7 
A = 16 B = 8 RES = 128, OP = 8 
A = 18 B = 9 RES = 2, OP = 9 
A = 20 B = 10 RES = 47, OP = 0 
A = 22 B = 11 RES = 38, OP = 1 
A = 24 B = 12 RES = 48, OP = 2 
A = 26 B = 13 RES = 26, OP = 3 
A = 28 B = 14 RES = 14, OP = 4 
A = 30 B = 15 RES = 7, OP = 5 
A = 32 B = 16 RES = 48, OP = 6 
A = 34 B = 17 RES = 17, OP = 7 
A = 36 B = 18 RES = 648, OP = 8 
A = 38 B = 19 RES = 2, OP = 9 
A = 40 B = 20 RES = 67, OP = 0 
A = 42 B = 21 RES = 48, OP = 1 
A = 44 B = 22 RES = 88, OP = 2 
A = 46 B = 23 RES = 46, OP = 3 
A = 48 B = 24 RES = 24, OP = 4 
A = 50 B = 25 RES = 12, OP = 5 
A = 52 B = 26 RES = 78, OP = 6 
A = 54 B = 27 RES = 27, OP = 7 
A = 56 B = 28 RES = 1568, OP = 8 
A = 58 B = 29 RES = 2, OP = 9 
A = 60 B = 30 RES = 87, OP = 0 
A = 62 B = 31 RES = 58, OP = 1 
A = 64 B = 32 RES = 128, OP = 2 
A = 66 B = 33 RES = 66, OP = 3 
A = 68 B = 34 RES = 34, OP = 4 
A = 70 B = 35 RES = 17, OP = 5 
A = 72 B = 36 RES = 108, OP = 6 
A = 74 B = 37 RES = 37, OP = 7 
A = 76 B = 38 RES = 2888, OP = 8 
A = 78 B = 39 RES = 2, OP = 9 
A = 80 B = 40 RES = 107, OP = 0 
A = 82 B = 41 RES = 68, OP = 1 
A = 84 B = 42 RES = 168, OP = 2 
A = 86 B = 43 RES = 86, OP = 3 
A = 88 B = 44 RES = 44, OP = 4 
A = 90 B = 45 RES = 22, OP = 5 
A = 92 B = 46 RES = 138, OP = 6 
A = 94 B = 47 RES = 47, OP = 7 
A = 96 B = 48 RES = 4608, OP = 8 
A = 98 B = 49 RES = 2, OP = 9 


INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
